LexToken(IMPORT,'import',2,52)
LexToken(STRING_LITERAL,"'dart:io'",2,59)
LexToken(SEMICOLON,';',2,68)
LexToken(CONST,'const',9,237)
LexToken(DOUBLE_TYPE,'double',9,243)
LexToken(IDENTIFIER,'notaMinima',9,250)
LexToken(ASSIGN,'=',9,261)
LexToken(DOUBLE_LITERAL,7.0,9,263)
LexToken(SEMICOLON,';',9,266)
LexToken(FINAL,'final',10,268)
LexToken(STRING_TYPE,'String',10,274)
LexToken(IDENTIFIER,'ciudad',10,281)
LexToken(ASSIGN,'=',10,288)
LexToken(STRING_LITERAL,'"Guayaquil"',10,290)
LexToken(SEMICOLON,';',10,301)
LexToken(VAR,'var',12,304)
LexToken(IDENTIFIER,'estudianteActivo',12,308)
LexToken(ASSIGN,'=',12,325)
LexToken(TRUE,'true',12,327)
LexToken(SEMICOLON,';',12,331)
LexToken(BOOL_TYPE,'bool',13,333)
LexToken(IDENTIFIER,'tieneRecuperacion',13,338)
LexToken(ASSIGN,'=',13,356)
LexToken(FALSE,'false',13,358)
LexToken(SEMICOLON,';',13,363)
LexToken(LIST_TYPE,'List',15,366)
LexToken(LESS_THAN,'<',15,370)
LexToken(STRING_TYPE,'String',15,371)
LexToken(GREATER_THAN,'>',15,377)
LexToken(IDENTIFIER,'materias',15,379)
LexToken(ASSIGN,'=',15,388)
LexToken(LCORCHETE,'[',15,390)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',16,396)
LexToken(COMA,',',16,423)
LexToken(STRING_LITERAL,'"Diseno de Interfaces"',17,429)
LexToken(RCORCHETE,']',18,452)
LexToken(SEMICOLON,';',18,453)
LexToken(MAP_TYPE,'Map',20,456)
LexToken(LESS_THAN,'<',20,459)
LexToken(STRING_TYPE,'String',20,460)
LexToken(COMA,',',20,466)
LexToken(INT_TYPE,'int',20,468)
LexToken(GREATER_THAN,'>',20,471)
LexToken(IDENTIFIER,'asistencias',20,473)
LexToken(ASSIGN,'=',20,485)
LexToken(LLLAVE,'{',20,487)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',21,493)
LexToken(COLON,':',21,520)
LexToken(INTEGER_LITERAL,90,21,522)
LexToken(COMA,',',21,524)
LexToken(STRING_LITERAL,'"Diseno de Interfaces"',22,530)
LexToken(COLON,':',22,552)
LexToken(INTEGER_LITERAL,85,22,554)
LexToken(RLLAVE,'}',23,557)
LexToken(SEMICOLON,';',23,558)
LexToken(DOUBLE_TYPE,'double',27,618)
LexToken(IDENTIFIER,'calcularPromedio',27,625)
LexToken(LPAREN,'(',27,641)
LexToken(DOUBLE_TYPE,'double',27,642)
LexToken(IDENTIFIER,'nota1',27,649)
LexToken(COMA,',',27,654)
LexToken(DOUBLE_TYPE,'double',27,656)
LexToken(IDENTIFIER,'nota2',27,663)
LexToken(RPAREN,')',27,668)
LexToken(LLLAVE,'{',27,670)
LexToken(RETURN,'return',28,676)
LexToken(LPAREN,'(',28,683)
LexToken(IDENTIFIER,'nota1',28,684)
LexToken(PLUS,'+',28,690)
LexToken(IDENTIFIER,'nota2',28,692)
LexToken(RPAREN,')',28,697)
LexToken(DIVIDE,'/',28,699)
LexToken(INTEGER_LITERAL,2,28,701)
LexToken(SEMICOLON,';',28,702)
LexToken(RLLAVE,'}',29,704)
LexToken(INT_TYPE,'int',33,761)
LexToken(IDENTIFIER,'calcularPuntajeExtra',33,765)
LexToken(LPAREN,'(',33,785)
LexToken(INT_TYPE,'int',33,786)
LexToken(IDENTIFIER,'puntos',33,790)
LexToken(RPAREN,')',33,796)
LexToken(ARROW,'=>',33,798)
LexToken(IDENTIFIER,'puntos',33,801)
LexToken(MULTIPLY,'*',33,808)
LexToken(IDENTIFIER,'puntos',33,810)
