LexToken(IMPORT,'import',2,50)
LexToken(STRING_LITERAL,"'dart:io'",2,57)
LexToken(SEMICOLON,';',2,66)
LexToken(CONST,'const',10,228)
LexToken(DOUBLE_TYPE,'double',10,234)
LexToken(IDENTIFIER,'notaMinima',10,241)
LexToken(ASSIGN,'=',10,252)
LexToken(DOUBLE_LITERAL,7.0,10,254)
LexToken(SEMICOLON,';',10,257)
LexToken(FINAL,'final',11,259)
LexToken(STRING_TYPE,'String',11,265)
LexToken(IDENTIFIER,'curso',11,272)
LexToken(ASSIGN,'=',11,278)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',11,280)
LexToken(SEMICOLON,';',11,307)
LexToken(VOID,'void',13,310)
LexToken(IDENTIFIER,'main',13,315)
LexToken(LPAREN,'(',13,319)
LexToken(RPAREN,')',13,320)
LexToken(LLLAVE,'{',13,322)
LexToken(STRING_TYPE,'String',14,326)
LexToken(IDENTIFIER,'nombreEstudiante',14,333)
LexToken(ASSIGN,'=',14,350)
LexToken(STRING_LITERAL,'"Andrea"',14,352)
LexToken(SEMICOLON,';',14,360)
LexToken(DOUBLE_TYPE,'double',15,364)
LexToken(IDENTIFIER,'notaParcial',15,371)
LexToken(ASSIGN,'=',15,383)
LexToken(DOUBLE_LITERAL,8.5,15,385)
LexToken(SEMICOLON,';',15,388)
LexToken(PRINT,'print',18,445)
LexToken(LPAREN,'(',18,450)
LexToken(IDENTIFIER,'cursoInexistente',18,451)
LexToken(RPAREN,')',18,467)
LexToken(SEMICOLON,';',18,468)
LexToken(INT_TYPE,'int',21,535)
LexToken(IDENTIFIER,'notaFinal',21,539)
LexToken(ASSIGN,'=',21,549)
LexToken(STRING_LITERAL,'"ocho"',21,551)
LexToken(SEMICOLON,';',21,557)
LexToken(DOUBLE_TYPE,'double',24,628)
LexToken(IDENTIFIER,'promedioCurso',24,635)
LexToken(ASSIGN,'=',24,649)
LexToken(IDENTIFIER,'notaParcial',24,651)
LexToken(PLUS,'+',24,663)
LexToken(IDENTIFIER,'curso',24,665)
LexToken(SEMICOLON,';',24,670)
LexToken(PRINT,'print',26,675)
LexToken(LPAREN,'(',26,680)
LexToken(IDENTIFIER,'nombreEstudiante',26,681)
LexToken(RPAREN,')',26,697)
LexToken(SEMICOLON,';',26,698)
LexToken(RLLAVE,'}',27,700)
LexToken(INT_TYPE,'int',30,750)
LexToken(IDENTIFIER,'calcularAprobados',30,754)
LexToken(LPAREN,'(',30,771)
LexToken(RPAREN,')',30,772)
LexToken(LLLAVE,'{',30,774)
LexToken(RETURN,'return',31,778)
LexToken(STRING_LITERAL,'"no numerico"',31,785)
LexToken(SEMICOLON,';',31,798)
LexToken(RLLAVE,'}',32,800)
LexToken(DOUBLE_TYPE,'double',35,858)
Error léxico en la línea 35, columna 8: '2doParcial' no es un identificador válido porque comienza con un dígito.
LexToken(ASSIGN,'=',35,876)
LexToken(DOUBLE_LITERAL,9.0,35,878)
LexToken(SEMICOLON,';',35,881)
LexToken(INT_TYPE,'int',38,924)
LexToken(IDENTIFIER,'totalAsistencias',38,928)
LexToken(ASSIGN,'=',38,945)
LexToken(INTEGER_LITERAL,10,38,947)
Error léxico en la línea 38, columna 27: el carácter '@' no es válido.
LexToken(INTEGER_LITERAL,2,38,952)
LexToken(SEMICOLON,';',38,953)
LexToken(VOID,'void',41,1003)
LexToken(IDENTIFIER,'mostrarEstadoFinal',41,1008)
LexToken(LPAREN,'(',41,1026)
LexToken(RPAREN,')',41,1027)
LexToken(LLLAVE,'{',41,1029)
LexToken(DOUBLE_TYPE,'double',42,1033)
LexToken(IDENTIFIER,'promedioFinal',42,1040)
LexToken(ASSIGN,'=',42,1054)
LexToken(DOUBLE_LITERAL,8.0,42,1056)
LexToken(SEMICOLON,';',42,1059)
LexToken(IF,'if',43,1063)
LexToken(IDENTIFIER,'promedioFinal',43,1066)
LexToken(GREATER_EQUAL,'>=',43,1080)
LexToken(IDENTIFIER,'notaMinima',43,1083)
LexToken(RPAREN,')',43,1093)
LexToken(LLLAVE,'{',43,1095)
LexToken(PRINT,'print',44,1101)
LexToken(LPAREN,'(',44,1106)
LexToken(STRING_LITERAL,'"Aprobado"',44,1107)
LexToken(RPAREN,')',44,1117)
LexToken(SEMICOLON,';',44,1118)
LexToken(RLLAVE,'}',45,1122)
LexToken(RLLAVE,'}',46,1124)
