LexToken(IMPORT,'import',3,41)
LexToken(STRING_LITERAL,"'dart:io'",3,48)
LexToken(SEMICOLON,';',3,57)
LexToken(CONST,'const',9,162)
LexToken(DOUBLE_TYPE,'double',9,168)
LexToken(IDENTIFIER,'iva',9,175)
LexToken(ASSIGN,'=',9,179)
LexToken(DOUBLE_LITERAL,0.15,9,181)
LexToken(SEMICOLON,';',9,185)
LexToken(FINAL,'final',10,187)
LexToken(STRING_TYPE,'String',10,193)
LexToken(IDENTIFIER,'ciudad',10,200)
LexToken(ASSIGN,'=',10,207)
LexToken(STRING_LITERAL,'"Guayaquil"',10,209)
LexToken(SEMICOLON,';',10,220)
LexToken(VAR,'var',11,222)
LexToken(IDENTIFIER,'activo',11,226)
LexToken(ASSIGN,'=',11,233)
LexToken(TRUE,'true',11,235)
LexToken(SEMICOLON,';',11,239)
LexToken(LIST_TYPE,'List',13,242)
LexToken(LESS_THAN,'<',13,246)
LexToken(STRING_TYPE,'String',13,247)
LexToken(GREATER_THAN,'>',13,253)
LexToken(IDENTIFIER,'tareas',13,255)
LexToken(ASSIGN,'=',13,262)
LexToken(LBRACKET,'[',13,264)
LexToken(STRING_LITERAL,'"Hacer avance de LP"',14,270)
LexToken(COMMA,',',14,290)
LexToken(STRING_LITERAL,'"Avanzar diseño de interfaces"',15,296)
LexToken(RBRACKET,']',16,327)
LexToken(SEMICOLON,';',16,328)
LexToken(MAP_TYPE,'Map',18,331)
LexToken(LESS_THAN,'<',18,334)
LexToken(STRING_TYPE,'String',18,335)
LexToken(COMMA,',',18,341)
LexToken(INT_TYPE,'int',18,343)
LexToken(GREATER_THAN,'>',18,346)
LexToken(IDENTIFIER,'frutas',18,348)
LexToken(ASSIGN,'=',18,355)
LexToken(LBRACE,'{',18,357)
LexToken(STRING_LITERAL,'"manzanas"',19,363)
LexToken(COLON,':',19,373)
LexToken(INTEGER_LITERAL,5,19,375)
LexToken(COMMA,',',19,376)
LexToken(STRING_LITERAL,'"bananas"',20,382)
LexToken(COLON,':',20,391)
LexToken(INTEGER_LITERAL,10,20,393)
LexToken(RBRACE,'}',21,396)
LexToken(SEMICOLON,';',21,397)
LexToken(DOUBLE_TYPE,'double',23,400)
LexToken(IDENTIFIER,'calcularPromedio',23,407)
LexToken(LPAREN,'(',23,423)
LexToken(DOUBLE_TYPE,'double',23,424)
LexToken(IDENTIFIER,'nota1',23,431)
LexToken(COMMA,',',23,436)
LexToken(DOUBLE_TYPE,'double',23,438)
LexToken(IDENTIFIER,'nota2',23,445)
LexToken(RPAREN,')',23,450)
LexToken(LBRACE,'{',23,452)
LexToken(RETURN,'return',24,458)
LexToken(LPAREN,'(',24,465)
LexToken(IDENTIFIER,'nota1',24,466)
LexToken(PLUS,'+',24,472)
LexToken(IDENTIFIER,'nota2',24,474)
LexToken(RPAREN,')',24,479)
LexToken(DIVIDE,'/',24,481)
LexToken(INTEGER_LITERAL,2,24,483)
LexToken(SEMICOLON,';',24,484)
LexToken(RBRACE,'}',25,486)
LexToken(INT_TYPE,'int',27,489)
LexToken(IDENTIFIER,'calcularCuadrado',27,493)
LexToken(LPAREN,'(',27,509)
LexToken(INT_TYPE,'int',27,510)
LexToken(IDENTIFIER,'numero',27,514)
LexToken(RPAREN,')',27,520)
LexToken(ARROW,'=>',27,522)
LexToken(IDENTIFIER,'numero',27,525)
LexToken(MULTIPLY,'*',27,532)
LexToken(IDENTIFIER,'numero',27,534)
LexToken(SEMICOLON,';',27,540)
LexToken(VOID,'void',29,543)
LexToken(IDENTIFIER,'main',29,548)
LexToken(LPAREN,'(',29,552)
LexToken(RPAREN,')',29,553)
LexToken(LBRACE,'{',29,555)
LexToken(FOR,'for',30,561)
LexToken(LPAREN,'(',30,565)
LexToken(INT_TYPE,'int',30,566)
LexToken(IDENTIFIER,'i',30,570)
LexToken(ASSIGN,'=',30,572)
LexToken(INTEGER_LITERAL,0,30,574)
LexToken(SEMICOLON,';',30,575)
LexToken(IDENTIFIER,'i',30,577)
LexToken(LESS_THAN,'<',30,579)
LexToken(INTEGER_LITERAL,2,30,581)
LexToken(SEMICOLON,';',30,582)
LexToken(IDENTIFIER,'i',30,584)
LexToken(INCREMENT,'++',30,585)
LexToken(RPAREN,')',30,587)
LexToken(LBRACE,'{',30,589)
LexToken(IDENTIFIER,'print',31,599)
LexToken(LPAREN,'(',31,604)
LexToken(IDENTIFIER,'tareas',31,605)
LexToken(LBRACKET,'[',31,611)
LexToken(IDENTIFIER,'i',31,612)
LexToken(RBRACKET,']',31,613)
LexToken(RPAREN,')',31,614)
LexToken(SEMICOLON,';',31,615)
LexToken(RBRACE,'}',32,621)
LexToken(IF,'if',34,628)
LexToken(LPAREN,'(',34,631)
